used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,20,21433.3,20594.222626432464,20594.222626432464,-1205.122626,29.757642739510175,Gd2Zr2O7,166.11231140406178,17
1,20.01,20716.7,20591.18782272526,20591.18782272526,-1918.687823,34.49487783,-10221,166.1324772583615,83
1,20.02,21006.7,20588.152809446547,20588.152809446547,-1625.652809,49.58241171610511, ,166.19265928433782,-15842.55
1,20.03,21006.7,20585.11758903726,20585.11758903726,-1622.617589,58.90314959, ,168.29527622604266,107831.55
1,20.04,20853.3,20582.08216393601,20582.08216393601,-1772.982164,61.801319811986296, ,167.38189866290801, 
1,20.05,21023.3,20579.046536579015,20579.046536579015,-1599.946537,72.74005806167524, ,169.27285665457413, 
1,20.06,21030,20576.010709400154,20576.010709400154,-1590.210709, , ,167.74981371077584, 
1,20.07,21113.3,20572.974684830937,20572.974684830937,-1503.874685, , ,167.58072681546648, 
1,20.08,21106.7,20569.93846530052,20569.93846530052,-1507.438465, , ,167.86899654194636, 
1,20.09,21120,20566.902053235717,20566.902053235717,-1491.102053, , ,167.49119379836063, 
1,20.1,21116.7,20563.86545106096,20563.86545106096,-1491.365451, , ,166.84333969325837, 
1,20.11,21343.3,20560.828661198342,20560.828661198342,-1261.728661, , ,168.27566669010704, 
1,20.12,21250,20557.79168606761,20557.79168606761,-1351.991686, , ,168.0675459450753, 
1,20.13,21573.3,20554.75452808614,20554.75452808614,-1025.654528, , ,168.35468511449272, 
1,20.14,20823.3,20551.717189668976,20551.717189668976,-1772.61719, , ,168.56245133480942, 
1,20.15,21253.3,20548.67967,20548.67967,-1339.579673, , ,169.68588627225307, 
1,20.16,21256.7,20545.64198117593,20545.64198117593,-1333.141981, , ,169.97058569058353, 
1,20.17,21023.3,20542.60411591837,20542.60411591837,-1563.504116, , ,169.2040188648012, 
1,20.18,21190,20539.566079861743,20539.566079861743,-1393.76608, , ,170.5189139069329, 
1,20.19,20810,20536.527875409338,20536.527875409338,-1770.727875, , ,169.75482320099184, 
1,20.2,21173.3,20533.489504962105,20533.489504962105,-1404.389505, , ,169.15466295671544, 
1,20.21,20730,20530.450970918624,20530.450970918624,-1844.650971, , ,171.38640552855995, 
