used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,20,21433.3,20674.09299730292,20594.222626432464,-1284.992997,29.757842218719265,20.085139649623297,Gd2Zr2O7,166.11231140406178,17
1,20.01,20716.7,20685.715668780365,20591.18782272526,-2013.215669,34.49511093,26.67455180615395,-10221,166.1324772583615,83
1,20.02,21006.7,20700.091811200473,20588.152809446547,-1737.591811,49.58275850155082,28.554036596535475,Gd3Fe5O12,166.19265928433782,-26574.6
1,20.03,21006.7,20717.31245330102,20585.11758903726,-1754.812453,58.90357353904053,32.009698738022735,-20442,168.29527622604266,108342.6
1,20.04,20853.3,20737.137460444606,20582.08216393601,-1928.03746,61.80176917751048,33.617288662589516, ,167.38189866290801, 
1,20.05,21023.3,20758.74781,20579.046536579015,-1779.647814,72.74061100491001,35.159708126063194, ,169.27285665457413, 
1,20.06,21030,20780.479092919133,20576.010709400154,-1794.679093, ,36.64529347322774, ,167.74981371077584, 
1,20.07,21113.3,20799.766236689124,20572.974684830937,-1730.666237, ,39.47179853536408, ,167.58072681546648, 
1,20.08,21106.7,20813.654814106918,20569.93846530052,-1751.154814, ,40.822937217354244, ,167.86899654194636, 
1,20.09,21120,20819.930144096412,20566.902053235717,-1744.130144, ,44.673809738963676, ,167.49119379836063, 
1,20.1,21116.7,20818.117520554715,20563.86545106096,-1745.617521, ,44.673809738963676, ,166.84333969325837, 
1,20.11,21343.3,20809.357460210646,20560.828661198342,-1510.25746, ,45.89968346388884, ,168.27566669010704, 
1,20.12,21250,20795.27137976351,20557.79168606761,-1589.47138, ,47.10064658534445, ,168.0675459450753, 
1,20.13,21573.3,20777.029226313785,20554.75452808614,-1247.929226, ,49.43545290003145, ,168.35468511449272, 
1,20.14,20823.3,20755.39389605012,20551.717189668976,-1976.293896, ,50.57258966696561, ,168.56245133480942, 
1,20.15,21253.3,20731.310680922506,20548.67967,-1522.210681, ,51.691463050693294, ,169.68588627225307, 
1,20.16,21256.7,20706.162006850183,20545.64198117593,-1493.662007, ,52.793333197473956, ,169.97058569058353, 
1,20.17,21023.3,20681.448463589044,20542.60411591837,-1702.348464, ,53.87934260843621, ,169.2040188648012, 
1,20.18,21190,20658.343454546553,20539.566079861743,-1512.543455, ,53.87934260843621, ,170.5189139069329, 
1,20.19,20810,20637.506573722574,20536.527875409338,-1871.706574, ,53.87934260843621, ,169.75482320099184, 
1,20.2,21173.3,20619.15064174204,20533.489504962105,-1490.050642, ,54.95053144215086, ,169.15466295671544, 
1,20.21,20730,20603.19861550325,20530.450970918624,-1917.398616, ,58.084297515118095, ,171.38640552855995, 
1,20.22,20920,20589.42203905381,20527.41227567516,-1713.622039, ,58.08429751511809, ,169.10558831688562, 
1,20.23,20536.7,20577.53213457894,20524.373421625613,-2085.032135, ,59.10496978730094, ,170.84115429251815, 
1,20.24,20990,20567.231741456842,20521.334411161548,-1621.431741, ,60.11487504576914, ,171.67789607284917, 
1,20.25,20926.7,20558.242442593273,20518.29524667218,-1675.742443, ,61.114651347488866, ,170.34288949058015, 
1,20.26,20876.7,20550.31741612177,20515.255930544394,-1717.817416, ,62.10489319402051, ,170.0097056052977, 
1,20.27,20870,20543.246220002566,20512.216465162728,-1717.44622, ,63.08615600931382, ,170.30355251726255, 
1,20.28,20976.7,20536.854861573778,20509.17685290938,-1604.354862, ,63.08615600931382, ,170.13729749822642, 
1,20.29,20860,20531.003080645034,20506.137096164206,-1715.203081, ,64.05896006543263, ,169.9902938405602, 
1,20.3,21016.7,20525.58012938431,20503.097197304727,-1553.080129, ,64.05896006543263, ,171.8525530796677, 
1,20.31,21033.3,20520.499887698687,20500.057158706135,-1531.399888, ,65.98111756149976, ,170.27419064555852, 
1,20.32,21050,20515.69602511785,20497.016982741272,-1509.896025, ,66.93136493523541, ,171.1043541234413, 
1,20.33,20330,20511.117614965147,20493.976671780652,-2225.317615, ,68.81225147930186, ,169.4402549573153, 
1,20.34,20796.7,20506.725431184324,20490.93622819245,-1754.225431, ,69.74364943395119, ,170.7629936490925, 
1,20.35,21033.3,20502.488992455787,20487.89565434251,-1513.388992, ,69.74364943395119, ,171.79435380710274, 
1,20.36,21040,20498.384292291557,20484.854952594345,-1502.584292, ,69.74364943395119, ,172.43346542942294, 
1,20.37,20423.3,20494.39213813319,20481.81412530913,-2115.292138, ,70.66949237562889, ,171.74603343308982, 
1,20.38,20253.3,20490.49694106459,20478.77317484572,-2281.396941, ,71.59011614568568, ,171.3280479080994, 
1,20.39,20600,20486.685860448088,20475.732103560622,-1930.88586, ,71.59011614568568, ,171.6682847820179, 
1,20.4,20626.7,20482.948180664753,20472.690913808023,-1900.448181, ,73.41697726, ,172.1531295097478, 
1,20.41,20996.7,20479.274874789786,20469.64960793979,-1526.774875, ,73.41697726, ,171.20163550620654, 
1,20.42,20880,20475.73289258818,20466.60818830545,-1639.932893, ,74.32381774788256, ,170.41126723312632, 
1,20.43,21000,20472.16662201989,20463.566657252195,-1516.366622, ,75.22664762185155, ,170.87041873887944, 
